@T,table
Created,2021-07-22 06:22
Author,HortonMachine library
@H,timestamp,value_10
ID,,10
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2013-11-01 07:00,0.0
,2013-11-01 07:05,0.0
,2013-11-01 07:10,0.0
,2013-11-01 07:15,0.0
,2013-11-01 07:20,0.0
,2013-11-01 07:25,0.0
,2013-11-01 07:30,0.0
,2013-11-01 07:35,0.0
,2013-11-01 07:40,0.0
,2013-11-01 07:45,0.0
,2013-11-01 07:50,0.0
,2013-11-01 07:55,0.0
,2013-11-01 08:00,0.0
,2013-11-01 08:05,0.0
,2013-11-01 08:10,0.0
,2013-11-01 08:15,0.0
,2013-11-01 08:20,0.0
,2013-11-01 08:25,0.0
,2013-11-01 08:30,0.0
,2013-11-01 08:35,0.0
,2013-11-01 08:40,0.0
,2013-11-01 08:45,0.0
,2013-11-01 08:50,0.0
,2013-11-01 08:55,0.0
,2013-11-01 09:00,0.0
,2013-11-01 09:05,0.0
,2013-11-01 09:10,0.0
,2013-11-01 09:15,0.0
,2013-11-01 09:20,0.0
,2013-11-01 09:25,0.0
,2013-11-01 09:30,0.0
,2013-11-01 09:35,0.0
,2013-11-01 09:40,0.0
,2013-11-01 09:45,0.0
,2013-11-01 09:50,0.0
,2013-11-01 09:55,0.0
,2013-11-01 10:00,0.0
,2013-11-01 10:05,0.0
,2013-11-01 10:10,0.0
,2013-11-01 10:15,0.0
,2013-11-01 10:20,0.0
,2013-11-01 10:25,0.0
,2013-11-01 10:30,0.0
,2013-11-01 10:35,0.0
,2013-11-01 10:40,0.0
,2013-11-01 10:45,0.0
,2013-11-01 10:50,0.0
,2013-11-01 10:55,0.0
,2013-11-01 11:00,0.0
,2013-11-01 11:05,0.0
,2013-11-01 11:10,0.0
,2013-11-01 11:15,0.0
,2013-11-01 11:20,0.0
,2013-11-01 11:25,0.0
,2013-11-01 11:30,0.0
,2013-11-01 11:35,0.0
,2013-11-01 11:40,0.0
,2013-11-01 11:45,0.0
,2013-11-01 11:50,0.0
